"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @alvaro_delgado: La ""marcha más grande de la historia"" de Jalisco es hoy en Guadalajara. Se enfrentan dos poderes: El que lidera el caci…",FALSE,0,NA,2022-05-28 12:17:42,FALSE,NA,"1530523710268002304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SofaHM7",924,TRUE,FALSE,NA,NA
"RT @Imagen_Mx: <U+0001F53B><U+0001F4B0> @JavierArmentaMX, presidente de la @FEU_UdeG, nos comparte los detalles en #entrevista con @wendyroac. 

https://t.co/gi9…",FALSE,0,NA,2022-05-28 06:42:21,FALSE,NA,"1530439316702277632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","juarezmiranda",5,TRUE,FALSE,NA,NA
"RT @DiegoHdzVz: Fueron más personas a la marcha de la @udg_oficial que a la final de uno de los equipos de la ciudad, ahí te encargo revise…",FALSE,0,NA,2022-05-28 06:41:38,FALSE,NA,"1530439133130153984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","juarezmiranda",3,TRUE,FALSE,NA,NA
"RT @alvaro_delgado: Ya inició la “marcha más grande en la historia” de Jalisco, organizada por la @udg_oficial contra @EnriqueAlfaroR:",FALSE,0,NA,2022-05-28 06:22:02,FALSE,NA,"1530434203904618496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Arcange52536129",359,TRUE,FALSE,NA,NA
"RT @alvaro_delgado: La ""marcha más grande de la historia"" de Jalisco es hoy en Guadalajara. Se enfrentan dos poderes: El que lidera el caci…",FALSE,0,NA,2022-05-28 06:18:46,FALSE,NA,"1530433378012606464",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","angelynor",924,TRUE,FALSE,NA,NA
"RT @alvaro_delgado: Hay videos sobre supuesto pago del partido @MovCiudadanoMX para desincentivar la marcha de la @udg_oficial, en Guadalaj…",FALSE,0,NA,2022-05-28 05:48:10,FALSE,NA,"1530425679342346241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandycorrea94",270,TRUE,FALSE,NA,NA
"RT @alvaro_delgado: La ""marcha más grande de la historia"" de Jalisco es hoy en Guadalajara. Se enfrentan dos poderes: El que lidera el caci…",FALSE,0,NA,2022-05-28 05:46:35,FALSE,NA,"1530425278970925061",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandycorrea94",924,TRUE,FALSE,NA,NA
"RT @laoctavadigital: #VIDEO | Comunidad universitaria realiza mega marcha en Jalisco

Los manifestantes exigieron presupuesto y respeto a l…",FALSE,0,NA,2022-05-28 05:46:17,FALSE,NA,"1530425205616742400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandycorrea94",19,TRUE,FALSE,NA,NA
"RT @jenarovillamil: Es falso que la @udg_oficial haya pedido a aspirantes acudir a la marcha que se registró este 26 de mayo en Guadalajara…",FALSE,0,NA,2022-05-28 05:45:04,FALSE,NA,"1530424898589446145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandycorrea94",9,TRUE,FALSE,NA,NA
"@tonatiuhbp A mí no de me olvidará jamás las formas, alumnos de prepa menores de edad condicionados con su asistenc… https://t.co/h4R2mSbc34",FALSE,0,"tonatiuhbp",2022-05-28 05:42:32,TRUE,"1529851289538023429","1530424262066065408","1069723638","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Perezmcbride",0,FALSE,FALSE,NA,NA
"No siquiera los que estamos dentro de las instituciones de la Universidad de Guadalajara o del SEMS fuimos recompen… https://t.co/KeWAZc1Ute",FALSE,0,"soycarlosmoraa",2022-05-28 05:42:19,TRUE,"1530424206768349184","1530424207913394177","1033910551674478592","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","soycarlosmoraa",0,FALSE,FALSE,NA,NA
"RT @Memoarias13: Es Neta?
Convocar una Marcha Universitaria para tu destape Presidencial?
@rvillanueval 
@Udg_oficial
#TantitaMadre https:/…",FALSE,0,NA,2022-05-28 05:39:52,FALSE,NA,"1530423592466497538",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mexxxikn0",12,TRUE,FALSE,NA,NA
"RT @MiguelA71963341: Ya ni la chinga MC entregando pasquines presumiendo  lo que hace Alfaro y por otro lado boicoteando a la marcha de la…",FALSE,0,NA,2022-05-28 05:39:02,FALSE,NA,"1530423382658781189",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Vera_CamRi",5,TRUE,FALSE,NA,NA
"RT @alvaro_delgado: La ""marcha más grande de la historia"" de Jalisco es hoy en Guadalajara. Se enfrentan dos poderes: El que lidera el caci…",FALSE,0,NA,2022-05-28 05:31:59,FALSE,NA,"1530421605666635777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jema93609856",924,TRUE,FALSE,NA,NA
"RT @alvaro_delgado: La ""marcha más grande de la historia"" de Jalisco es hoy en Guadalajara. Se enfrentan dos poderes: El que lidera el caci…",FALSE,0,NA,2022-05-28 05:21:07,FALSE,NA,"1530418870892257280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarioAl52333319",924,TRUE,FALSE,NA,NA
"@tonatiuhbp A mí no de me olvidará jamás las formas, alumnos de prepa menores de edad condicionados con su asistenc… https://t.co/RtS3nkN96W",FALSE,0,"tonatiuhbp",2022-05-28 05:16:17,TRUE,"1529894363794382848","1530417653717803008","1069723638","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Perezmcbride",0,FALSE,FALSE,NA,NA
"@udg_oficial A mí no de me olvidará jamás las formas, alumnos de prepa menores de edad condicionados con su asisten… https://t.co/wObOFSufvf",FALSE,0,"udg_oficial",2022-05-28 05:13:12,TRUE,"1530262567095963649","1530416879940124672","74204499","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Perezmcbride",0,FALSE,FALSE,NA,NA
